"Quotations","Cotizaciones"
"Quotations List","Listado de Cotizaciones"
"Caption","Titulo"
"Edit Quotation","Editar Cotizaci&oacute;n"
"Quotation #","Cotizaci&oacute;n #"
"Customer","Cliente"
"Created at","Creada el"
"Updated at","Actualizada el"
"Valid until","Valida hasta"
"Free Shipping","Envio Gratuito"
"Product","Producto"
"Show detail prices","Mostrar detalles del precio"
"Is visible ?","Visible ?"
"Price (excl tax)","Precio neto"
"Calculate from subitems","Calcular basado en sub-elementos"
"Weight","Peso"
"Last Notification Date","Fecha de ultima notificaci&oacute;n"
"Associated Promotion","Oferta relacionada"
"Print","Imprimir"
"Create Product","Crear producto"
"Save","Guardar"
"Duplicate","Duplicar"
"Quotation Items","Articulos de la Cotizaci&oacute;n"
"Product ID","ID del Producto"
"Name","Nombre"
"Qty","Cant."
"Price","Precio"
"Cost","Costo"
"Exclude","Excluir"
"Remove","Remover"
"Add From Products List","Agregar del catalogo"
"Add Fake Product","Agregar producto ficticio"
"Add Products","Agregar Productos"
"Add","Agregar"
"quotation successfully saved.","cotizaci&oacute;n guardada exitosamente."
"Product successfully removed.","Producto eliminado exitosamente"
"Add to quotation","Agregar a cotizaci&oacute;n"
"Products successfully added.","Producto agregado exitosamente"
"Quotation not transformed into product.","La cotizaci&oacute;n no se convierte en producto"
"Quotation product successfully created.","Cotizaci&oacute;n creata exitosamente"
"No promotion associated","No existe oferta relacionada"
"Created At","Creada el"
"Create New Quotation","Crear Nueva Cotizaci&oacute;n"
"Quotation successfully deleted.","Cotizaci&oacute;n eliminada exitosamente"
"Duplicate Quotation","Copia de Cotizaci&oacute;n"
"Quotation successfully duplicated.","Cotizaci&oacute;n exitosamente copiada"
"Total (excl tax) : ","Sub-Total : "
"Tax : ","I.V.A : "
"Total (incl tax) : ","Total : "
"customer successfully notified.","Clientie notificado exitosamente"
"Quotation valid until ","Cotizacion valida hasta :"
"Tax","Impuestos"
"Free Shipping","Envio gratuito"
"Qty","Cant."
"Unit Price (excl tax)","Precio Unitario"
"Total (excl tax)","Sub-Total"
"Total (incl tax)","Total (IVA)"
"Comments","Commentarios"
"Agreement","Acuerdo"
"Created At","Creada "
"Add fake product","Agregar producto ficticio"
"My Quotations","Mis Cotizaciones"
"View Quotation","Ver Cotizaci&oacute;n"
"quotation expired","cotizaci&oacute;n vencida"
"Quote #","Cotizaci&oacute;n #"
"Creation date","Creada "
"Valid until","Valida hasta"
"Print Quotation","Imprimir Cotizaci&oacute;n"
"Free Shipping","Envio Gratuito"
"Add to Cart","Agregar al carrito"
"Qty","Cant."
"Unit Price (incl tax)","PU (IVA)"
"Unit Price (excl tax)","PU (NETO)"
"help_order_sent","TRANSLATE THIS MESSAGE: help_order_sent"
"help_order_finished","TRANSLATE THIS MESSAGE: help_order_finished"
"Request for a new quotation","Solicitar nueva cotizaci&oacute;n"
"To request for a new quotation, please fill the field below being as accurate as possible to describe your needs","Para solicitar una cotizaci&oacute;n nueva, por favor describe en el siguiente espacio los art�culos a cotizar de la manera mas detallada posible"
"Submit","Enviar"
"You have no quotation available.","Usted no tiene ninguna cotizaci&oacute;n disponible todavia."
"Category for Product Transformation","Conversion de Categoria a Producto"
"Email Sender for Quotation Request","Direccion de correo solicitud de cotizaciones"
"Email Template for Quotation Request","Plantilla de correo solicitud de cotizaciones"
"PDF header","Encabezado del PDF"
"PDF footer","Pie de pagina del PDF"
"Email Sender","Direcci&oacute;n de correo enviar cotizaciones"
"Email Template","Plantilla de cotizaciones"
"Quotation Request","Solicitud de Cotizaci&oacute;n"
"Allow quotation request","Permitir la solicitud"
"Quotation","Cotizacion"
