sku,brand,name,size,net_weight,weight_unit,net_volume,volume_unit,gross_weight,gross_weight_unit,parent_category,child_category,description,ingredients,allergen_advice,storage_instructions,energy_kj,enery_kcal,protein,carbohydrates,of_which_sugars,fat,of_which_saturates,fibre,sodium,vitamin_A,VATable,country_of_origin,address,EAN
083618,Cook's,Cooks Curry Concentrate Hot and Spicy,,,,405,g,0.445,kg,Sauces and pastes ,Curry sauces and pastes ,"COOKING INSTRUCTIONS: Add 1 part concentrate to 3-4 parts water depending on thickness required. Dissolve thoroughly, bring to boil and simmer for about 2 minutes stirring continuously. The sauce is now ready IT'S THAT EASY!!  SERVING SUGGESTIONS: Stir fry some slices of your favourite meats and vegetables, then mix in the ready made sauce. CURRY AT ITS BEST!! Simply use as a potato chip dip or pour over boiled potatoes. IT'S DELICIOUS AND IT'S THAT EASY!! Please note: Oil or yellow crystal salts on the top of this product are a perfectly natural part of the sauce","Wheat Flour, Palm Oil, Vegetable Oil, Curry Powder (10.5%) (Coriander, Turmeric, Fennel Seed, Cumin, Fenugreek Seed, Mustard Seed, Chilli Powder, Black Pepper, Salt, Garlic Powder), Spice (4%) (Chilli Powder, Cumin, Liquorice Powder, Coriander, Turmeric), Salt, Water, Flavour Enhancer: Monosodium Glutamate, Onion Powder, Coconut Cream (1.4%) ","CONTAINS: WHEAT FLOUR AND MUSTARD SEED, MAY CONTAIN TRACES OF CELERY OR SOYA ",,,,,,,,,,,,3,PRODUCT OF THE UK,Made for Wing Yip PLC 375 Nechells Park Road Nechells Birmingham B7 5NT,5013499006908
015354,Cook's,Cooks Curry Concentrate Madras,,,,405,g,0.441,kg,Sauces and pastes ,Curry sauces and pastes ,"COOKING INSTRUCTIONS: Add 1 part concentrate to 3-4 parts water depending on thickness required. Dissolve thoroughly, bring to boil and simmer for about 2 minutes stirring continuously. The sauce is now ready IT'S THAT EASY!!  SERVING SUGGESTIONS: Stir fry some slices of your favourite meats and vegetables, then mix in the ready made sauce. CURRY AT ITS BEST!! Simply use as a potato chip dip or pour over boiled potatoes. IT'S DELICIOUS AND IT'S THAT EASY!! Please note: Oil or yellow crystal salts on the top of this product are a perfectly natural part of the sauce","Wheat Flour, Vegetable Oil (100% Rapeseed), Palm Oil, Curry powder 11.3% (Coriander, Turmeric, Fennel Seed, Cumin, Fenugreek Seed, Mustard Seed, Salt, Garlic Powder, Chilli Powder, Black Pepper,) Salt, Water, Flavour Enhancer: Monosodium Glutamate, Spice (Licorice Powder, Chilli Powder) Coconut Cream (1.5%), Onion Powder.  ","CONTAINS: WHEAT FLOUR AND MUSTARD SEED, MAY CONTAIN TRACES OF CELEERY OR SOYA ",Once opened replace lid and store in a cool dry place,,,,,,,,,,,3,PRODUCT OF THE UK,Made by KEEJAYS LTD IP7 6RD,5013499000012
015347,Cook's,Cooks Curry Concentrate Chinese,,,,405,g,0.442,kg,Sauces and pastes ,Curry sauces and pastes ,"COOKING INSTRUCTIONS: Add 1 part concentrate to 3-4 parts water depending on thickness required. Dissolve thoroughly, bring to boil and simmer for about 2 minutes stirring continuously. The sauce is now ready IT'S THAT EASY!!  SERVING SUGGESTIONS: Stir fry","Wheat Flour, Vegetable Oil, Palm Oil, Curry Powder (12.4%) (Coriander, Chilli, Cumin, Turmeric, Fennel Seed, Mustard Seed, Fenugreek Seed, Black Pepper), Salt, Water, Flavour Enhancer: Monosodium Glutamate, Coconut Cream (1.5%), Spice (0.9%), Onion Powder. ","CONTAINS: WHEAT FLOUR AND MUSTARD SEED, MAY CONTAIN TRACES OF CELERY OR SOYA ",,,,,,,,,,,,3,PRODUCT OF THE UK,Made for Wing Yip PLC 375 Nechells Park Road Nechells Birmingham B7 5NT,5013499000036
229773,Wing Yip,Wing Yip Kung Po Sauce ,,185,ml,,,0.361,kg,Sauces and pastes ,Stir Fry Sauces,"""Now you too can recreate authentic Chinese cuisine at home. Our range of products give you a real taste of China's illustrious culinary heritage."" Named after a famous Szechuan Governor of the Ching Dynasty, this delicious 'hot and sour' sauce includes 'five spice' & Chinese plums and is a favourite at banquets. This sauce can be used in a STIR-FRY, by heating oil in a wok and adding roughly chopped onions and then diced chicken. Add the sauce and fry until cooked, adding water as required. Finally add chopped peppers and roasted peanuts. Kung Po sauce can also be used as a GLAZE; cook spare ribs or chops until tender, then glaze with the sauce. Return the meat to the oven or a barbeque to finish off. VERSATILE, QUICK AND CONVENIENT, SUITABLE FOR VEGETARIANS AND NO HYDROGENATED FAT.","Water, Sugar, Non Brewed Condiment (Acetic Acid, Water), Hoisin Sauce (Water, Crushed Yellow Bean (Fermented Salted Soya Bean (Soya Bean, Wheat, Flour, Salt, Water), Soya Sauce (Water, Soy Bean, Salt, Wheat Flour), Sugar, Water, Colour: Plain Caramel, Preservative: Potassium Sorbate), Sugar, Non-brewed Condiment (Acetic Acid, Water), Plum Sauce (4.6%) (Sugar, Water, Plum Paste (14%) (Plum (68%), Water, Sugar, Citric Acid, Salt), Modified Maize Starch, Salt, Plum Halves in Syrup (2%) (Plum (58%), Water, Sugar), Acetic Acid), Vegetable Oil, Modified Maize Starch, Onion Powder, Spices (2%), Salt, Colour: Plain Caramel), Tomato Puree, Modified Maize Starch, Vegetable Oil, Salt, Mushroom Soy Sauce (Water, Soya Beans, Salt, Sugar, Wheat Flour, Extract of Mushroom), Spice (0.2%). ",CONTAINS: WHEAT FLOUR AND SOYA - MAY CONTAIN TRACES OF CELERY OR MUSTARD SEED,"Store in a cool, dry place and away from direct sunlight. Once opened refrigerate and use within 10 days.",681,161,0.5g,31.0g,23.6g,4.1g,0.6g,1.4g,1.0g,,3,PRODUCT IN THE UK,Made for W.Wing Yip plc. B7 5NT,5013499008186
229757,Wing Yip,Wing Yip Black Bean Sauce,,185,ml,,,0.348,kg,Sauces and pastes ,Stir Fry Sauces,"""Now you too can recreate authentic Chinese cuisine at home. Our range of products give you a real taste of China's illustrious culinary heritage."" Renowned for its distinctive aroma and flavours, Black Bean Sauce is a key ingredient in classical Chinese cuisine. Our recipe uses the finest black beans, sourced from the Far East. Using as a STIR-FRY sauce, heat oil in a wok, adding some roughly chopped onions and diced chicken or beef. Add the sauce and fry until cooked, adding water as required. Finally, add some chopped peppers and garnish with spring onions. VERSATILE, QUICK AND CONVENIENT AND NO HYDROGENATED FAT.","Water, Sugar, Salted Black Beans (7%) (Black Beans (50%), Water, Salt), Modified Maize Starch, Flavour Enhancer: Monosodium Glutamate, Vegetable Oil, Salt, Oyster Sauce (Water, Sugar, Salt, Modified Maize Starch, Flavour Enhancer: Monosodium Glutamate, Oyster Essence(1.3%) (Water, Flavourings (Contains Molluscs), Colour: Plain Caramel), Mushroom Soya Sauce (Water, Soya Beans, Salt, Sugar, Wheat Flour, Extract of Mushroom), Colour: Plain Caramel, Preservatives: Mushroom Soya Sauce (Water, Soya Beans, Salt, Sugar, Wheat Flour, Extract of Mushroom), Preservative: Acetic Acid. ","CONTAINS: WHEAT FLOUR, SOYA AND MOLLUSCS. MAY CONTAIN TRACES OF CELERY OR MUSTARD SEED.","Store in a cool, dry place and away from direct sunlight. Once opened refrigerate and use within 10 days.",423,100,3.5g,16.5g,11.4g,3.1g,0.6g,1.3g,1.8g,,3,PRODUCT IN THE UK,Made for W.Wing Yip plc. B7 5NT,5013499008063
086744,Wing Yip,Wing Yip Black Bean Sauce Drum,,2200,ml,,,2.606,kg,Sauces and pastes ,Stir Fry Sauces,"""Now you too can recreate authentic Chinese cuisine at home. Our range of products give you a real taste of China's illustrious culinary heritage."" Renowned for its distinctive aroma and flavours, Black Bean Sauce is a key ingredient in classical Chinese cuisine. Our recipe uses the finest black beans, sourced from the Far East. Using as a STIR-FRY sauce, heat oil in a wok, adding some roughly chopped onions and diced chicken or beef. Add the sauce and fry until cooked, adding water as required. Finally, add some chopped peppers and garnish with spring onions. VERSATILE, QUICK AND CONVENIENT AND NO HYDROGENATED FAT.","Water, Sugar, Salted Black Beans (7%) (Black Beans (50%), Water, Salt), Modified Maize Starch, Flavour Enhancer: Monosodium Glutamate, Vegetable Oil, Salt, Oyster Sauce (Water, Sugar, Salt, Modified Maize Starch, Flavour Enhancer: Monosodium Glutamate, Oyster Essence(1.3%) (Water, Flavourings (Contains Molluscs), Colour: Plain Caramel), Mushroom Soya Sauce (Water, Soya Beans, Salt, Sugar, Wheat Flour, Extract of Mushroom), Colour: Plain Caramel, Preservatives: Mushroom Soya Sauce (Water, Soya Beans, Salt, Sugar, Wheat Flour, Extract of Mushroom), Preservative: Acetic Acid. ","CONTAINS: WHEAT FLOUR, SOYA AND MOLLUSCS. MAY CONTAIN TRACES OF CELERY OR MUSTARD SEED.","Store in a cool, dry place and away from direct sunlight. Once opened refrigerate and use within 10 days.",423,100,3.5g,16.5g,11.4g,3.1g,0.6g,1.3g,1.8g,,3,PRODUCT IN THE UK,Made for W.Wing Yip plc. B7 5NT,5027659138699
360644,Wing Yip,Wing Yip Chinese Fried Rice Sauce ,,150,ml ,,,0.376,kg,Sauces and pastes ,Ingredient Sauces,"""Now you too can recreate authentic Chinese cuisine at home. Our range of products give you a real taste of China's illustrious culinary heritage."" Rice is a critical part of any Chinese meal and fried rice dishes are often served at the end of a traditional Chinese banquette, incorporating rice, meat and vegetables to create a complete dish. Wing Yip Chinese Fried Rice Sauce can be used in rice dishes containing any type of meat including pork, chicken and beef. It can also be used in rice dishes containing mushrooms and vegetables to create a delicious vegetarian meal. SERVING SUGGESTION: 1. Sauté diced onions in a wok with a tablespoon of oil. 2. Add cooked rice (200g per person). 3. Add any cooked meat and/or a handful of cooked peas together with 1 tablespoon of Wing Yip Fried Rice Sauce per serving. Stir-fry well and garnish with strips of omelette and chopped spring onions. For further recipe ideas visit us at www.wingyip.com","Soy Sauce (Water, Soybean, Salt, Wheat Flour), Water, Sugar, Colour: Caramel, Salt, Onion, Yeast Extract, Vinegar, Thickener: Hydroxy-propyl Starch, Garlic, Flavouring, Black Pepper, Flavour Enhancer: Disodium Guanylate, Disodium Inosinate, Ginger, Preservative: Sodium Benzoate, Soy Lecithin",CONTAINS WHEAT FLOUR AND SOYA,"Store in a cool, dry place. Once opened refrigerate and use within 1 month. ",586,140,4.3g,29.1g,13.7g,0.7g,trace,3.3g,5.8g,,3,PRODUCED IN MALAYSIA,Made for Wing Yip plc B7 5NT UK,5027659594532
229765,Wing Yip,Wing Yip Spicy Szechuan Stir-Fry Sauce ,,185,ml,,,0.368,kg,Sauces and pastes ,Stir Fry Sauces,"""Now you too can recreate authentic Chinese cuisine at home. Our range of products give you a real taste of China's illustrious culinary heritage."" The Szechuan region of West China is renowned for its cuisine. Our moderately hot sauce blends crushed yellow beans with selected spices to create its unique flavours. Using as a STIR-FRY sauce, heat oil in a wok, adding some roughly chopped onions and diced chicken. Add the sauce and fry until cooked, adding water as required. Finally, add some chopped peppers and roast cashew nuts. Spicy Szechuan Sauce can be used as a CASSEROLE sauce or in a slow cooker with beef and peppers as an Oriental Stew. This sauce also makes a great hot and sour SOUP, by diluting the sauce with water and adding mushrooms, tofu, spring onions and vinegar. For further recipe ideas visit us at www.wingyip.com","Water, Fermented Soybean, Sugar, Tomato Paste, Modified Maize Starch, Soybean Oil, Plum, Onion, Chilli (0.53%), Szechuan pepper powder (0.4%), Salt, Yeast Extract, Colour: Caramel, Preservative: Potassium Sorbate, Flavour Enhancer: Disodium Inosinate, Disodium Guanylate, Spices",CONTAINS WHEAT FLOUR AND SOYA. MAY CONTAIN TRACES OF CELERY OR MUSTARD SEED,"Store in a cool, dry place and away from direct sunlight. Once opened refrigerate and use within 10 days.",418,100,1.2g,18.7g,11.3g,2.3g,0.4g,2.7g,1.1g,,3,PRODUCED IN MALAYSIA,Made for W.Wing Yip plc. B7 5NT,5013499008148
086736,Wing Yip,Wing Yip Spicy Szechuan Stir-Fry Sauce Drum,,2200,ml,,,2.536,kg,Sauces and pastes ,Stir Fry Sauces,"""Now you too can recreate authentic Chinese cuisine at home. Our range of products give you a real taste of China's illustrious culinary heritage."" The Szechuan region of West China is renowned for its cuisine. Our moderately hot sauce blends crushed yellow beans with selected spices to create its unique flavours. Using as a STIR-FRY sauce, heat oil in a wok, adding some roughly chopped onions and diced chicken. Add the sauce and fry until cooked, adding water as required. Finally, add some chopped peppers and roast cashew nuts. Spicy Szechuan Sauce can be used as a CASSEROLE sauce or in a slow cooker with beef and peppers as an Oriental Stew. This sauce also makes a great hot and sour SOUP, by diluting the sauce with water and adding mushrooms, tofu, spring onions and vinegar. For further recipe ideas visit us at www.wingyip.com","Water, Fermented Soybean, Sugar, Tomato Paste, Modified Maize Starch, Soybean Oil, Plum, Onion, Chilli (0.53%), Szechuan pepper powder (0.4%), Salt, Yeast Extract, Colour: Caramel, Preservative: Potassium Sorbate, Flavour Enhancer: Disodium Inosinate, Disodium Guanylate, Spices",CONTAINS WHEAT FLOUR AND SOYA. MAY CONTAIN TRACES OF CELERY OR MUSTARD SEED,"Store in a cool, dry place and away from direct sunlight. Once opened refrigerate and use within 10 days.",418,100,1.2g,18.7g,11.3g,2.3g,0.4g,2.7g,1.1g,,3,PRODUCED IN MALAYSIA,Made for W.Wing Yip plc. B7 5NT,5013499007172
229807,Wing Yip,Wing Yip Yellow Bean Stir-Fri Sauce,,185,ml,,,0.344,kg,Sauces and pastes ,Stir Fry Sauces,"""Now you too can recreate authentic Chinese cuisine at home. Our range of products give you a real taste of China's illustrious culinary heritage."" Our eclectic mix of yellow beans, Chinese plums and spices creates a flavoursome and aromatic sauce. Perfect with white meat or fish, or use in casseroles to add an Oriental twist. Using an a STIR-FRY sauce, heat oil in a wok, adding some roughly chopped onions and diced chicken. Add the sauce and fry until cooked, adding water as required. Yellow Bean Sauce can be used to create a warming Oriental CASSEROLE by mixing with diced pork, garlic, onion, potatoes and carrots. As a BRAISING sauce, cook gently with pork ribs, garlic and spring onions until tender. For further recipe ideas visit us at www.wingyip.com VERSATILE, QUICK AND CONVENIENT, SUITABLE FOR VEGETARIANS AND NO HYDROGENATED FAT","Water, Crushed Yellow Bean (16%), (Fermented Salted Soya Bean (Soya bean (17%), Wheat Flour, Salt, Water), Soya Sauce (Water, Soya Bean, Salt, Wheat Flour), Sugar, Water, Colour: Plain Caramel, Preservative: Potassium Sorbate), Sugar, Modified Maize Starch, Plum Paste (3.7%) (Plum (68%), Water, Sugar, Citric Acid, Salt), Salt, Flavour Enhancer: Monosodium Glutamate, Vegetable Oil, Preservative: Acetic Acid, Spice (0.4%)",CONTAINS WHEAT FLOUR AND SOYA. MAY CONTAIN TRACES OF CELERY OR MUSTARD SEED,"Store in a cool, dry place and away from direct sunlight. Once opened refrigerate and use within 10 days.",393,93,1.6g,18.7g,14.8g,1.5g,0.3g,0.9g,2.0g,,3,PRODUCED IN THE UK,Made for W.Wing Yip plc. B7 5NT,5013499008223
