ProductID,Weight
7633,0.17
7634,0.17
7635,0.16
7639,0.16
7640,0.19
7649,0.48
7655,4.61
7659,10.15
7660,5.01
7662,1.06
7663,1.06
7664,1.06
7671,0.25
7679,0.05
7681,0.05
7682,0.08
7683,0.08
7684,0.11
7685,0.94
7688,0.08
7692,0.41
7693,0.32
7694,0.35
7695,0.33
7696,0.07
7704,1.22
7709,0.12
7711,1.85
7714,0.30
7722,0.56
7730,0.61
7750,0.11
7751,0.12
7768,1.20
7772,0.39
7804,0.61
7808,0.08
7810,0.11
7814,0.13
7816,0.32
7822,0.08
7843,0.24
7844,0.24
7894,0.13
7900,0.70
7901,0.52
7902,0.37
7903,0.29
7905,0.48
7906,0.43
7907,0.08
7908,0.49
7910,0.28
7911,0.04
7914,0.10
7916,1.14
7917,0.18
7918,0.18
7919,0.18
7921,0.52
7943,0.10
7951,0.06
7953,0.16
7960,0.47
7981,0.16
7987,3.27
7990,0.50
8006,0.29
8008,0.12
8009,1.21
8012,0.30
8014,0.35
8015,1.38
8017,1.17
8018,0.05
8020,0.09
8021,0.16
8022,0.40
8023,0.57
8024,0.15
8030,0.11
8032,0.41
8033,0.43
8037,0.11
8039,0.15
8040,0.11
8041,0.12
8042,0.40
8045,0.25
8047,0.26
8063,0.67
8064,0.59
8065,0.29
8073,0.05
8074,0.44
8075,0.61
8081,0.32
8082,0.20
8083,0.55
8092,1.12
8108,0.27
8109,0.27
8114,0.02
8116,5.52
8117,4.08
8118,0.34
8119,0.59
8122,2.56
8125,1.78
8137,0.79
8139,0.11
8140,0.11
8144,0.16
8180,4.71
8237,0.25
8238,1.34
8243,0.43
8245,0.54
8292,0.93
8298,0.22
8304,9.61
8324,0.11
8325,0.12
8326,0.11
8332,0.12
8333,0.16
8334,0.21
8336,0.03
8337,0.21
8340,0.16
8341,0.12
8342,0.21
8344,0.16
8345,0.12
8346,0.21
8348,0.12
8350,0.21
8351,0.12
8352,0.16
8354,0.16
8357,0.11
8359,0.26
8361,0.21
8362,0.12
8368,0.11
8370,0.12
8375,0.09
8376,0.15
8377,0.21
8381,0.22
8388,0.06
8400,0.22
8402,0.12
8405,2.76
8414,0.11
8415,0.24
8416,0.10
8421,0.12
8422,0.22
8423,0.11
8428,0.31
8429,0.22
8436,0.22
8447,0.33
8460,5.23
8461,0.81
8463,0.30
8464,5.11
8469,0.98
8470,1.00
8471,5.16
8473,5.15
8476,4.97
8480,1.06
8482,5.04
8484,10.92
8485,0.25
8486,0.14
8487,0.09
8490,0.09
8492,0.26
8493,0.26
8495,0.29
8496,0.28
8498,0.22
8499,0.23
8511,0.34
8512,0.35
8514,0.28
8528,0.13
8531,0.14
